Lat(y);Long(x);Damage
-27.1;27.1;0
-27.05;27.1;0
-27;27.1;0
-26.95;27.1;0
-26.9;27.1;0
-26.85;27.1;0
-26.8;27.1;2.18
-26.75;27.1;3.31
-26.7;27.1;8.97
-26.65;27.1;13.06
-26.6;27.1;16.99
-26.55;27.1;19.68
-26.5;27.1;21.42
-26.45;27.1;22.3
-26.4;27.1;22.49
-26.35;27.1;21.86
-26.3;27.1;20.44
-26.25;27.1;18.18
-26.2;27.1;14.74
-26.15;27.1;10.69
-26.1;27.1;5.22
-26.05;27.1;2.3
-26;27.1;0
-25.95;27.1;1.46
-25.9;27.1;1.99
-25.85;27.1;2.33
-25.8;27.1;2.56
-25.75;27.1;2.72
-25.7;27.1;2.81
-25.65;27.1;2.85
-25.6;27.1;2.84
-25.55;27.1;2.78
-25.5;27.1;2.69
-25.45;27.1;2.53
-25.4;27.1;2.34
-25.35;27.1;2.09
-25.3;27.1;1.75
-25.25;27.1;1.27
-25.2;27.1;0
-25.15;27.1;0
-25.1;27.1;0
-25.05;27.1;0
-25;27.1;0
-24.95;27.1;0
-24.9;27.1;0
-27.1;27.15;0
-27.05;27.15;0
-27;27.15;0
-26.95;27.15;0
-26.9;27.15;0
-26.85;27.15;0
-26.8;27.15;2.69
-26.75;27.15;7.06
-26.7;27.15;12.27
-26.65;27.15;17.02
-26.6;27.15;20.54
-26.55;27.15;22.96
-26.5;27.15;24.51
-26.45;27.15;25.36
-26.4;27.15;25.52
-26.35;27.15;24.96
-26.3;27.15;23.69
-26.25;27.15;21.66
-26.2;27.15;18.56
-26.15;27.15;14.21
-26.1;27.15;9.32
-26.05;27.15;2.96
-26;27.15;1.9
-25.95;27.15;1.94
-25.9;27.15;2.32
-25.85;27.15;2.6
-25.8;27.15;2.8
-25.75;27.15;2.94
-25.7;27.15;3.02
-25.65;27.15;3.1
-25.6;27.15;3.05
-25.55;27.15;2.99
-25.5;27.15;2.88
-25.45;27.15;2.73
-25.4;27.15;2.55
-25.35;27.15;2.31
-25.3;27.15;2.01
-25.25;27.15;1.59
-25.2;27.15;0
-25.15;27.15;0
-25.1;27.15;0
-25.05;27.15;0
-25;27.15;0
-24.95;27.15;0
-24.9;27.15;0
-27.1;27.2;0
-27.05;27.2;0
-27;27.2;0
-26.95;27.2;0
-26.9;27.2;0
-26.85;27.2;1.82
-26.8;27.2;3.15
-26.75;27.2;10.16
-26.7;27.2;15.36
-26.65;27.2;19.98
-26.6;27.2;23.19
-26.55;27.2;25.44
-26.5;27.2;26.89
-26.45;27.2;27.67
-26.4;27.2;27.81
-26.35;27.2;27.33
-26.3;27.2;26.19
-26.25;27.2;24.3
-26.2;27.2;21.48
-26.15;27.2;17.54
-26.1;27.2;12.32
-26.05;27.2;6.37
-26;27.2;2.48
-25.95;27.2;2.26
-25.9;27.2;2.55
-25.85;27.2;2.81
-25.8;27.2;2.99
-25.75;27.2;3.64
-25.7;27.2;4.4
-25.65;27.2;4.68
-25.6;27.2;4.51
-25.55;27.2;3.92
-25.5;27.2;3.03
-25.45;27.2;2.88
-25.4;27.2;2.7
-25.35;27.2;2.47
-25.3;27.2;2.17
-25.25;27.2;1.78
-25.2;27.2;1.22
-25.15;27.2;0
-25.1;27.2;0
-25.05;27.2;0
-25;27.2;0
-24.95;27.2;0
-24.9;27.2;0
-27.1;27.25;0
-27.05;27.25;0
-27;27.25;0
-26.95;27.25;0
-26.9;27.25;0
-26.85;27.25;2.27
-26.8;27.25;5.86
-26.75;27.25;12.39
-26.7;27.25;17.95
-26.65;27.25;22.15
-26.6;27.25;25.17
-26.55;27.25;27.27
-26.5;27.25;28.77
-26.45;27.25;29.61
-26.4;27.25;29.76
-26.35;27.25;29.26
-26.3;27.25;28.05
-26.25;27.25;26.25
-26.2;27.25;23.61
-26.15;27.25;19.95
-26.1;27.25;14.96
-26.05;27.25;9.27
-26;27.25;2.88
-25.95;27.25;2.5
-25.9;27.25;2.74
-25.85;27.25;2.96
-25.8;27.25;3.78
-25.75;27.25;4.93
-25.7;27.25;5.6
-25.65;27.25;5.82
-25.6;27.25;5.6
-25.55;27.25;5
-25.5;27.25;3.9
-25.45;27.25;2.99
-25.4;27.25;2.8
-25.35;27.25;2.56
-25.3;27.25;2.26
-25.25;27.25;1.89
-25.2;27.25;1.37
-25.15;27.25;0
-25.1;27.25;0
-25.05;27.25;0
-25;27.25;0
-24.95;27.25;0
-24.9;27.25;0
-27.1;27.3;0
-27.05;27.3;0
-27;27.3;0
-26.95;27.3;0
-26.9;27.3;0
-26.85;27.3;2.6
-26.8;27.3;7.96
-26.75;27.3;14.23
-26.7;27.3;19.78
-26.65;27.3;23.73
-26.6;27.3;26.59
-26.55;27.3;28.71
-26.5;27.3;30.2
-26.45;27.3;30.99
-26.4;27.3;31.13
-26.35;27.3;30.63
-26.3;27.3;29.5
-26.25;27.3;27.63
-26.2;27.3;25.15
-26.15;27.3;21.71
-26.1;27.3;17.03
-26.05;27.3;11.18
-26;27.3;4.26
-25.95;27.3;2.69
-25.9;27.3;2.88
-25.85;27.3;3.27
-25.8;27.3;4.84
-25.75;27.3;5.9
-25.7;27.3;6.5
-25.65;27.3;6.66
-25.6;27.3;6.39
-25.55;27.3;5.75
-25.5;27.3;4.61
-25.45;27.3;3.08
-25.4;27.3;2.87
-25.35;27.3;2.62
-25.3;27.3;2.32
-25.25;27.3;1.94
-25.2;27.3;1.42
-25.15;27.3;0
-25.1;27.3;0
-25.05;27.3;0
-25;27.3;0
-24.95;27.3;0
-24.9;27.3;0
-27.1;27.35;0
-27.05;27.35;0
-27;27.35;0
-26.95;27.35;0
-26.9;27.35;1.09
-26.85;27.35;2.8
-26.8;27.35;9.4
-26.75;27.35;15.67
-26.7;27.35;20.98
-26.65;27.35;24.77
-26.6;27.35;27.52
-26.55;27.35;29.67
-26.5;27.35;31.08
-26.45;27.35;31.87
-26.4;27.35;32
-26.35;27.35;31.5
-26.3;27.35;30.41
-26.25;27.35;28.6
-26.2;27.35;26.13
-26.15;27.35;22.82
-26.1;27.35;18.36
-26.05;27.35;12.58
-26;27.35;6.34
-25.95;27.35;2.86
-25.9;27.35;2.97
-25.85;27.35;4.09
-25.8;27.35;5.55
-25.75;27.35;6.52
-25.7;27.35;7.06
-25.65;27.35;7.19
-25.6;27.35;6.88
-25.55;27.35;6.15
-25.5;27.35;4.97
-25.45;27.35;3.4
-25.4;27.35;2.89
-25.35;27.35;2.64
-25.3;27.35;2.32
-25.25;27.35;1.94
-25.2;27.35;1.42
-25.15;27.35;0
-25.1;27.35;0
-25.05;27.35;0
-25;27.35;0
-24.95;27.35;0
-24.9;27.35;0
-27.1;27.4;0
-27.05;27.4;0
-27;27.4;0
-26.95;27.4;0
-26.9;27.4;1.57
-26.85;27.4;2.91
-26.8;27.4;10.31
-26.75;27.4;16.56
-26.7;27.4;21.59
-26.65;27.4;25.3
-26.6;27.4;28.04
-26.55;27.4;30.16
-26.5;27.4;31.51
-26.45;27.4;32.26
-26.4;27.4;32.42
-26.35;27.4;31.92
-26.3;27.4;30.84
-26.25;27.4;29.09
-26.2;27.4;26.66
-26.15;27.4;23.44
-26.1;27.4;19.14
-26.05;27.4;13.21
-26;27.4;7.52
-25.95;27.4;2.99
-25.9;27.4;3.05
-25.85;27.4;4.62
-25.8;27.4;5.97
-25.75;27.4;6.86
-25.7;27.4;7.35
-25.65;27.4;7.41
-25.6;27.4;7.05
-25.55;27.4;6.26
-25.5;27.4;5.06
-25.45;27.4;3.43
-25.4;27.4;2.88
-25.35;27.4;2.63
-25.3;27.4;2.29
-25.25;27.4;1.9
-25.2;27.4;1.39
-25.15;27.4;0
-25.1;27.4;0
-25.05;27.4;0
-25;27.4;0
-24.95;27.4;0
-24.9;27.4;0
-27.1;27.45;0
-27.05;27.45;0
-27;27.45;0
-26.95;27.45;1.16
-26.9;27.45;1.86
-26.85;27.45;2.97
-26.8;27.45;10.65
-26.75;27.45;16.79
-26.7;27.45;21.73
-26.65;27.45;25.42
-26.6;27.45;28.12
-26.55;27.45;30.2
-26.5;27.45;31.5
-26.45;27.45;32.24
-26.4;27.45;32.41
-26.35;27.45;31.92
-26.3;27.45;30.85
-26.25;27.45;29.13
-26.2;27.45;26.72
-26.15;27.45;23.58
-26.1;27.45;19.35
-26.05;27.45;13.58
-26;27.45;8.2
-25.95;27.45;3.3
-25.9;27.45;3.55
-25.85;27.45;4.94
-25.8;27.45;6.15
-25.75;27.45;6.99
-25.7;27.45;7.4
-25.65;27.45;7.4
-25.6;27.45;7
-25.55;27.45;6.17
-25.5;27.45;4.94
-25.45;27.45;3.25
-25.4;27.45;2.86
-25.35;27.45;2.59
-25.3;27.45;2.24
-25.25;27.45;1.8
-25.2;27.45;1.24
-25.15;27.45;0
-25.1;27.45;0
-25.05;27.45;0
-25;27.45;0
-24.95;27.45;0
-24.9;27.45;0
-27.1;27.5;0
-27.05;27.5;0
-27;27.5;1.22
-26.95;27.5;1.63
-26.9;27.5;2.11
-26.85;27.5;3.01
-26.8;27.5;10.51
-26.75;27.5;16.49
-26.7;27.5;21.43
-26.65;27.5;25.07
-26.6;27.5;27.72
-26.55;27.5;29.81
-26.5;27.5;31.13
-26.45;27.5;31.84
-26.4;27.5;31.99
-26.35;27.5;31.49
-26.3;27.5;30.45
-26.25;27.5;28.72
-26.2;27.5;26.37
-26.15;27.5;23.24
-26.1;27.5;19.09
-26.05;27.5;13.51
-26;27.5;8.29
-25.95;27.5;3.92
-25.9;27.5;3.91
-25.85;27.5;5.02
-25.8;27.5;6.15
-25.75;27.5;6.92
-25.7;27.5;7.27
-25.65;27.5;7.2
-25.6;27.5;6.76
-25.55;27.5;5.92
-25.5;27.5;4.68
-25.45;27.5;3.04
-25.4;27.5;2.82
-25.35;27.5;2.52
-25.3;27.5;2.15
-25.25;27.5;1.65
-25.2;27.5;0
-25.15;27.5;0
-25.1;27.5;0
-25.05;27.5;0
-25;27.5;0
-24.95;27.5;0
-24.9;27.5;0
-27.1;27.55;0
-27.05;27.55;1.16
-27;27.55;1.63
-26.95;27.55;1.98
-26.9;27.55;2.33
-26.85;27.55;3.02
-26.8;27.55;9.94
-26.75;27.55;15.71
-26.7;27.55;20.67
-26.65;27.55;24.31
-26.6;27.55;26.99
-26.55;27.55;29.01
-26.5;27.55;30.36
-26.45;27.55;31.07
-26.4;27.55;31.18
-26.35;27.55;30.7
-26.3;27.55;29.63
-26.25;27.55;27.89
-26.2;27.55;25.63
-26.15;27.55;22.51
-26.1;27.55;18.39
-26.05;27.55;13.01
-26;27.55;7.96
-25.95;27.55;4.29
-25.9;27.55;4.08
-25.85;27.55;4.93
-25.8;27.55;5.94
-25.75;27.55;6.66
-25.7;27.55;6.97
-25.65;27.55;6.86
-25.6;27.55;6.39
-25.55;27.55;5.51
-25.5;27.55;4.21
-25.45;27.55;2.99
-25.4;27.55;2.76
-25.35;27.55;2.46
-25.3;27.55;2.06
-25.25;27.55;1.51
-25.2;27.55;0
-25.15;27.55;0
-25.1;27.55;0
-25.05;27.55;0
-25;27.55;0
-24.95;27.55;0
-24.9;27.55;0
-27.1;27.6;0
-27.05;27.6;1.57
-27;27.6;1.95
-26.95;27.6;2.25
-26.9;27.6;2.53
-26.85;27.6;3.03
-26.8;27.6;9.09
-26.75;27.6;14.45
-26.7;27.6;19.46
-26.65;27.6;23.13
-26.6;27.6;25.86
-26.55;27.6;27.76
-26.5;27.6;29.16
-26.45;27.6;29.9
-26.4;27.6;30
-26.35;27.6;29.52
-26.3;27.6;28.42
-26.25;27.6;26.8
-26.2;27.6;24.52
-26.15;27.6;21.38
-26.1;27.6;17.27
-26.05;27.6;12.26
-26;27.6;7.48
-25.95;27.6;4.45
-25.9;27.6;4.11
-25.85;27.6;4.69
-25.8;27.6;5.53
-25.75;27.6;6.21
-25.7;27.6;6.5
-25.65;27.6;6.36
-25.6;27.6;5.83
-25.55;27.6;4.92
-25.5;27.6;3.55
-25.45;27.6;2.92
-25.4;27.6;2.68
-25.35;27.6;2.37
-25.3;27.6;1.95
-25.25;27.6;1.38
-25.2;27.6;0
-25.15;27.6;0
-25.1;27.6;0
-25.05;27.6;0
-25;27.6;0
-24.95;27.6;0
-24.9;27.6;0
-27.1;27.65;1.33
-27.05;27.65;1.86
-27;27.65;2.21
-26.95;27.65;2.47
-26.9;27.65;2.69
-26.85;27.65;3.05
-26.8;27.65;8.08
-26.75;27.65;12.84
-26.7;27.65;17.76
-26.65;27.65;21.54
-26.6;27.65;24.33
-26.55;27.65;26.28
-26.5;27.65;27.53
-26.45;27.65;28.28
-26.4;27.65;28.4
-26.35;27.65;27.91
-26.3;27.65;26.93
-26.25;27.65;25.36
-26.2;27.65;23.04
-26.15;27.65;19.9
-26.1;27.65;15.73
-26.05;27.65;11.26
-26;27.65;7.02
-25.95;27.65;4.44
-25.9;27.65;3.96
-25.85;27.65;4.26
-25.8;27.65;4.89
-25.75;27.65;5.51
-25.7;27.65;5.77
-25.65;27.65;5.63
-25.6;27.65;5.08
-25.55;27.65;4.15
-25.5;27.65;3.02
-25.45;27.65;2.83
-25.4;27.65;2.58
-25.35;27.65;2.26
-25.3;27.65;1.85
-25.25;27.65;1.29
-25.2;27.65;0
-25.15;27.65;0
-25.1;27.65;0
-25.05;27.65;0
-25;27.65;0
-24.95;27.65;0
-24.9;27.65;0
-27.1;27.7;1.63
-27.05;27.7;2.09
-27;27.7;2.4
-26.95;27.7;2.63
-26.9;27.7;2.82
-26.85;27.7;3.31
-26.8;27.7;7.25
-26.75;27.7;11.41
-26.7;27.7;15.58
-26.65;27.7;19.52
-26.6;27.7;22.39
-26.55;27.7;24.42
-26.5;27.7;25.71
-26.45;27.7;26.43
-26.4;27.7;26.55
-26.35;27.7;26.12
-26.3;27.7;25.15
-26.25;27.7;23.57
-26.2;27.7;21.25
-26.15;27.7;18.06
-26.1;27.7;13.91
-26.05;27.7;10.17
-26;27.7;6.41
-25.95;27.7;4.32
-25.9;27.7;3.54
-25.85;27.7;3.57
-25.8;27.7;4.05
-25.75;27.7;4.61
-25.7;27.7;4.83
-25.65;27.7;4.69
-25.6;27.7;4.14
-25.55;27.7;3.16
-25.5;27.7;2.92
-25.45;27.7;2.73
-25.4;27.7;2.48
-25.35;27.7;2.15
-25.3;27.7;1.71
-25.25;27.7;1.16
-25.2;27.7;0
-25.15;27.7;0
-25.1;27.7;0
-25.05;27.7;0
-25;27.7;0
-24.95;27.7;0
-24.9;27.7;0
-27.1;27.75;1.84
-27.05;27.75;2.26
-27;27.75;2.54
-26.95;27.75;2.76
-26.9;27.75;2.93
-26.85;27.75;3.61
-26.8;27.75;6.56
-26.75;27.75;9.95
-26.7;27.75;13.13
-26.65;27.75;17.02
-26.6;27.75;20.01
-26.55;27.75;22.12
-26.5;27.75;23.49
-26.45;27.75;24.22
-26.4;27.75;24.42
-26.35;27.75;24.02
-26.3;27.75;23.04
-26.25;27.75;21.47
-26.2;27.75;19.17
-26.15;27.75;16.06
-26.1;27.75;12.48
-26.05;27.75;9.26
-26;27.75;6.15
-25.95;27.75;4.09
-25.9;27.75;3.04
-25.85;27.75;3.01
-25.8;27.75;3.04
-25.75;27.75;3.47
-25.7;27.75;3.68
-25.65;27.75;3.52
-25.6;27.75;3.04
-25.55;27.75;2.94
-25.5;27.75;2.8
-25.45;27.75;2.6
-25.4;27.75;2.35
-25.35;27.75;2.01
-25.3;27.75;1.56
-25.25;27.75;1.02
-25.2;27.75;0
-25.15;27.75;0
-25.1;27.75;0
-25.05;27.75;0
-25;27.75;0
-24.95;27.75;0
-24.9;27.75;0
-27.1;27.8;2
-27.05;27.8;2.38
-27;27.8;2.66
-26.95;27.8;2.86
-26.9;27.8;3.01
-26.85;27.8;4.02
-26.8;27.8;6.08
-26.75;27.8;8.62
-26.7;27.8;11.36
-26.65;27.8;14.15
-26.6;27.8;17.13
-26.55;27.8;19.38
-26.5;27.8;20.85
-26.45;27.8;21.68
-26.4;27.8;21.95
-26.35;27.8;21.59
-26.3;27.8;20.7
-26.25;27.8;19.23
-26.2;27.8;17.07
-26.15;27.8;14.22
-26.1;27.8;11.41
-26.05;27.8;8.68
-26;27.8;6.14
-25.95;27.8;3.87
-25.9;27.8;2.97
-25.85;27.8;2.89
-25.8;27.8;2.9
-25.75;27.8;2.95
-25.7;27.8;2.97
-25.65;27.8;2.96
-25.6;27.8;2.9
-25.55;27.8;2.79
-25.5;27.8;2.64
-25.45;27.8;2.45
-25.4;27.8;2.19
-25.35;27.8;1.86
-25.3;27.8;1.42
-25.25;27.8;0
-25.2;27.8;0
-25.15;27.8;0
-25.1;27.8;0
-25.05;27.8;0
-25;27.8;0
-24.95;27.8;0
-24.9;27.8;0
-27.1;27.85;2.12
-27.05;27.85;2.48
-27;27.85;2.74
-26.95;27.85;2.93
-26.9;27.85;3.3
-26.85;27.85;4.42
-26.8;27.85;5.71
-26.75;27.85;7.56
-26.7;27.85;9.64
-26.65;27.85;11.78
-26.6;27.85;13.95
-26.55;27.85;16.19
-26.5;27.85;17.82
-26.45;27.85;18.81
-26.4;27.85;19.18
-26.35;27.85;19.01
-26.3;27.85;18.32
-26.25;27.85;17.04
-26.2;27.85;15.19
-26.15;27.85;12.85
-26.1;27.85;10.84
-26.05;27.85;8.64
-26;27.85;6.31
-25.95;27.85;3.87
-25.9;27.85;2.9
-25.85;27.85;2.74
-25.8;27.85;2.72
-25.75;27.85;2.77
-25.7;27.85;2.79
-25.65;27.85;2.77
-25.6;27.85;2.72
-25.55;27.85;2.61
-25.5;27.85;2.46
-25.45;27.85;2.26
-25.4;27.85;2.02
-25.35;27.85;1.7
-25.3;27.85;1.23
-25.25;27.85;0
-25.2;27.85;0
-25.15;27.85;0
-25.1;27.85;0
-25.05;27.85;0
-25;27.85;0
-24.95;27.85;0
-24.9;27.85;0
-27.1;27.9;2.19
-27.05;27.9;2.53
-27;27.9;2.78
-26.95;27.9;2.98
-26.9;27.9;3.7
-26.85;27.9;4.67
-26.8;27.9;5.52
-26.75;27.9;6.73
-26.7;27.9;8.2
-26.65;27.9;9.8
-26.6;27.9;11.47
-26.55;27.9;12.95
-26.5;27.9;14.57
-26.45;27.9;15.77
-26.4;27.9;16.4
-26.35;27.9;16.54
-26.3;27.9;16.14
-26.25;27.9;15.23
-26.2;27.9;13.89
-26.15;27.9;12.37
-26.1;27.9;10.81
-26.05;27.9;8.94
-26;27.9;6.71
-25.95;27.9;4.12
-25.9;27.9;2.88
-25.85;27.9;2.61
-25.8;27.9;2.51
-25.75;27.9;2.54
-25.7;27.9;2.56
-25.65;27.9;2.55
-25.6;27.9;2.5
-25.55;27.9;2.39
-25.5;27.9;2.24
-25.45;27.9;2.04
-25.4;27.9;1.81
-25.35;27.9;1.47
-25.3;27.9;0
-25.25;27.9;0
-25.2;27.9;0
-25.15;27.9;0
-25.1;27.9;0
-25.05;27.9;0
-25;27.9;0
-24.95;27.9;0
-24.9;27.9;0
-27.1;27.95;2.22
-27.05;27.95;2.56
-27;27.95;2.8
-26.95;27.95;2.99
-26.9;27.95;3.8
-26.85;27.95;4.72
-26.8;27.95;5.43
-26.75;27.95;6.13
-26.7;27.95;7
-26.65;27.95;8.03
-26.6;27.95;9.29
-26.55;27.95;10.79
-26.5;27.95;12.08
-26.45;27.95;13.1
-26.4;27.95;14.01
-26.35;27.95;14.49
-26.3;27.95;14.56
-26.25;27.95;14.19
-26.2;27.95;13.36
-26.15;27.95;12.4
-26.1;27.95;11.15
-26.05;27.95;9.48
-26;27.95;7.32
-25.95;27.95;4.62
-25.9;27.95;2.89
-25.85;27.95;2.53
-25.8;27.95;2.28
-25.75;27.95;2.26
-25.7;27.95;2.29
-25.65;27.95;2.27
-25.6;27.95;2.22
-25.55;27.95;2.12
-25.5;27.95;1.95
-25.45;27.95;1.76
-25.4;27.95;1.51
-25.35;27.95;1.13
-25.3;27.95;0
-25.25;27.95;0
-25.2;27.95;0
-25.15;27.95;0
-25.1;27.95;0
-25.05;27.95;0
-25;27.95;0
-24.95;27.95;0
-24.9;27.95;0
-27.1;28;2.21
-27.05;28;2.54
-27;28;2.79
-26.95;28;2.98
-26.9;28;3.69
-26.85;28;4.56
-26.8;28;5.21
-26.75;28;5.64
-26.7;28;5.97
-26.65;28;6.47
-26.6;28;7.6
-26.55;28;9.05
-26.5;28;10.42
-26.45;28;11.62
-26.4;28;12.63
-26.35;28;13.37
-26.3;28;13.87
-26.25;28;13.91
-26.2;28;13.45
-26.15;28;12.71
-26.1;28;11.65
-26.05;28;10.12
-26;28;8.02
-25.95;28;5.26
-25.9;28;2.93
-25.85;28;2.51
-25.8;28;2.06
-25.75;28;1.92
-25.7;28;1.93
-25.65;28;1.91
-25.6;28;1.85
-25.55;28;1.73
-25.5;28;1.57
-25.45;28;1.36
-25.4;28;1.06
-25.35;28;0
-25.3;28;0
-25.25;28;0
-25.2;28;0
-25.15;28;0
-25.1;28;0
-25.05;28;0
-25;28;0
-24.95;28;0
-24.9;28;0
-27.1;28.05;2.16
-27.05;28.05;2.5
-27;28.05;2.75
-26.95;28.05;2.94
-26.9;28.05;3.3
-26.85;28.05;4.21
-26.8;28.05;4.81
-26.75;28.05;5.08
-26.7;28.05;5.09
-26.65;28.05;5.18
-26.6;28.05;6.17
-26.55;28.05;7.69
-26.5;28.05;9.31
-26.45;28.05;10.84
-26.4;28.05;12.11
-26.35;28.05;13.04
-26.3;28.05;13.74
-26.25;28.05;14.06
-26.2;28.05;13.89
-26.15;28.05;13.13
-26.1;28.05;12.18
-26.05;28.05;10.73
-26;28.05;8.68
-25.95;28.05;5.98
-25.9;28.05;3
-25.85;28.05;2.53
-25.8;28.05;1.91
-25.75;28.05;1.49
-25.7;28.05;1.42
-25.65;28.05;1.34
-25.6;28.05;1.29
-25.55;28.05;1.15
-25.5;28.05;0
-25.45;28.05;0
-25.4;28.05;0
-25.35;28.05;0
-25.3;28.05;0
-25.25;28.05;0
-25.2;28.05;0
-25.15;28.05;0
-25.1;28.05;0
-25.05;28.05;0
-25;28.05;0
-24.95;28.05;0
-24.9;28.05;0
-27.1;28.1;2.07
-27.05;28.1;2.42
-27;28.1;2.67
-26.95;28.1;2.86
-26.9;28.1;3.01
-26.85;28.1;3.56
-26.8;28.1;4.13
-26.75;28.1;4.34
-26.7;28.1;4.26
-26.65;28.1;4.35
-26.6;28.1;5.3
-26.55;28.1;6.9
-26.5;28.1;8.72
-26.45;28.1;10.5
-26.4;28.1;11.97
-26.35;28.1;13.06
-26.3;28.1;13.99
-26.25;28.1;14.52
-26.2;28.1;14.42
-26.15;28.1;13.66
-26.1;28.1;12.61
-26.05;28.1;11.21
-26;28.1;9.2
-25.95;28.1;6.53
-25.9;28.1;3.09
-25.85;28.1;2.58
-25.8;28.1;1.86
-25.75;28.1;0
-25.7;28.1;0
-25.65;28.1;0
-25.6;28.1;0
-25.55;28.1;0
-25.5;28.1;0
-25.45;28.1;0
-25.4;28.1;0
-25.35;28.1;0
-25.3;28.1;0
-25.25;28.1;0
-25.2;28.1;0
-25.15;28.1;0
-25.1;28.1;0
-25.05;28.1;0
-25;28.1;0
-24.95;28.1;0
-24.9;28.1;0
-27.1;28.15;1.9
-27.05;28.15;2.29
-27;28.15;2.55
-26.95;28.15;2.75
-26.9;28.15;2.9
-26.85;28.15;3
-26.8;28.15;3.09
-26.75;28.15;3.31
-26.7;28.15;3.22
-26.65;28.15;3.45
-26.6;28.15;4.68
-26.55;28.15;6.48
-26.5;28.15;8.5
-26.45;28.15;10.43
-26.4;28.15;12.02
-26.35;28.15;13.17
-26.3;28.15;14.26
-26.25;28.15;14.88
-26.2;28.15;14.82
-26.15;28.15;14.04
-26.1;28.15;12.86
-26.05;28.15;11.47
-26;28.15;9.51
-25.95;28.15;6.9
-25.9;28.15;3.45
-25.85;28.15;2.62
-25.8;28.15;1.91
-25.75;28.15;0
-25.7;28.15;0
-25.65;28.15;0
-25.6;28.15;0
-25.55;28.15;0
-25.5;28.15;0
-25.45;28.15;0
-25.4;28.15;0
-25.35;28.15;0
-25.3;28.15;0
-25.25;28.15;0
-25.2;28.15;0
-25.15;28.15;0
-25.1;28.15;0
-25.05;28.15;0
-25;28.15;0
-24.95;28.15;0
-24.9;28.15;0
-27.1;28.2;1.69
-27.05;28.2;2.11
-27;28.2;2.39
-26.95;28.2;2.6
-26.9;28.2;2.75
-26.85;28.2;2.86
-26.8;28.2;2.92
-26.75;28.2;2.94
-26.7;28.2;2.94
